sujet;emotion;message
PlayStation5(PS5);Negative;God when 🥺
Microsoft;Positive;@satyanadella @Microsoft thanks for celebrating #Diversity. We need positive energy these days.
AssassinsCreed;Positive;That’s the best one wtf?
Amazon;Irrelevant;"AOC you make some very ignorant comments
PlayStation5(PS5);Positive;oooooh shit i think my motherboard is already compatible
Overwatch;Irrelevant;NYUMMM DELICIOUS FINALLY SOME GOOD CONTENT NYUMM THE SKINS THE ASHER
CallOfDuty;Neutral;Call of Duty: Modern Warfare and the problem with its child soldier level - newsychronicles.com/?p=3309&utm_so…
Google;Neutral;The latest b_gardiner's Random Musings! paper.li/b_gardiner/131… Thanks to @bjoerndarko @FMScreative #google #seo
Microsoft;Neutral;“the Free Software movement is dead. Linux doesn’t exist in 2007. Even Linus has got a job today,” Bill Hilf, #microsoft in mainstream media headline (they removed the article later) techrights.org/2007/07/27/bil…
CS-GO;Positive;"To all the people who want to play VALORANT and are saying they are gonna pursue it professionally, 

AssassinsCreed;Positive;FUCKKKKKK I CANT WAIT
WorldOfCraft;Neutral;this is the current status on the gold making, monthly token purchased if i dont find a stable source of income this will be bad in 3 months mithril and flamebloom were broke  by some sellers #Warcraft! pic.twitter.com/l7XmqXWpZ0
LeagueOfLegends;Positive;this is the absolute FUNNIEST interaction I’ve ever seen on League of Legends pic.twitter.com/NsWyuMdVrX
CS-GO;Neutral;I used a voice changer and pretended to be a girl in a csgo match last night and now my DMs are flooded xD
GrandTheftAuto(GTA);Negative;Oh shit I got 1 day to finish this fuk
PlayerUnknownsBattlegrounds(PUBG);Irrelevant;"I can''''t find confirmation anywhere but it looks like @fenix_app has quit muting keywords. If Talon can strip the imaginary sports from my timeline, I may need to switch.

Hearthstone;Negative;I miss when Hearthstone was simpler
TomClancysGhostRecon;Neutral;GM Fam!!! hope you are all up and being great today.... jus wanted to take a second to thank all my followers for the support you guys are truly awesome💪🏾👍🏾🙌🏾... #stateofdecay2 #ghostreconbreakpoint #RedDeadRedemption2 #SmallStreamerCommunity
Hearthstone;Neutral;"Play with @PtitDrogo and @BlyOnFire starting at 19 CEST TODAY and get a chance to win awesome prizes from our merch store AND a @Pl4ZMAcom Gaming Booster!



Facebook;Negative;Leaked memo excoriates #Facebook’s ‘slapdash and haphazard’ response to global political manipulation dlvr.it/RgbzJD https://t.co/M7JAMQeF7e
Cyberpunk2077;Positive;This looks kinda clean!
ApexLegends;Irrelevant;Wilson 💛
CallOfDuty;Irrelevant;Flip The Fuck Out!!!! Cyklon30001189  just joined the Kingdom on Mixer mixer.com/deduke #mixerPartner #mixer #streamer #Xbox #CallofDuty
Overwatch;Negative;"@BlizzardCS so when i try to buy overwatch with a credit or debit, all it does is load and then it says ''something went wrong. Select another payment method or try again later.''' Help I have been trying for a hour now'"""""
Verizon;Negative;@verizon Can you waive some data overage charges? Been tough for folks out here.
Battlefield;Negative;No one buy battlefield 3 on steam! It doesn’t have an app, it literally runs through a google search. Do not recommend it, it’s a waste of money #SteamSummerSale #SteamSummerSale2020
Facebook;Neutral;"Our #HISAPerth #OBIawards ceremony is taking place this Friday 29 May. Celebrating the Outstanding, Best + Inspiring work staff + students within #PerthCollegeUHI have done this year. Streaming LIVE 12 noon Friday @HISAPerth Facebook page. 🏆
Microsoft;Positive;#Indigo Urgent Care looks to Microsoft Teams and Microsoft’s Power Platform to help deliver quality care and world-class patient experience lnkd.in/eAzWmuB
Verizon;Neutral;🤔 Not sure where all your data is going? Frustrated by your kids using it all immediately? 😠 With the My Verizon app, the power is in your hands! ⚡ Download it now in the App store and via Google Play. 👍
TomClancysGhostRecon;Negative;"@GhostRecon @GhostRecon_UK Your PvP server doesn''''t work... Nobody can connect. And pls delete the scope for drones. They''''re useless und block syringes...
Cyberpunk2077;Positive;LETS FUCKING GOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO
Nvidia;Positive;Great job guys @Peter_shirley and @withyounotsmwhr
ApexLegends;Neutral;"Watch StrapxAxHolic on Twitch! I think I''''m pretty good at #ApexLegends twitch.tv/strapxaxholic?…
ApexLegends;Positive;feels good to get a Victory in #ApexLegends with your high school buddies. we are all in our late 20's now.  @VictorpMeraz4  @NOLDRAY #FreaksAndGeeks deserved a second season!!!
CallOfDutyBlackopsColdWar;Neutral;I know I trash BO1 multiplayer any chance I get but in all honesty I wouldn’t mind a Black Ops remaster. Nothing could ever be as worse as MW2019. Get to work on it...
PlayStation5(PS5);Positive;Interesting... (for real, this is really awesome looking!)
PlayerUnknownsBattlegrounds(PUBG);Negative;Even tae playing pubg I won’t ever installing it hahahaha I dislike that game so much
RedDeadRedemption(RDR);Neutral;"RED DEAD REDEMPTION 2 

PlayerUnknownsBattlegrounds(PUBG);Neutral;one of the best kpop moments was at Isac 2020 when all those kpop groups came together and just played a massive fuck off game of PUBG,, tell me that wasn’t iconic
Hearthstone;Neutral;Joe Buck is excited when  Hearthstone
Facebook;Negative;Why would you fuck your way to the bottom exactly?
Facebook;Neutral;"Congratulations to all nominees, including our leader Amy Hall, for their Award of Excellence nomination! 

Verizon;Negative;"Hey @verizonfios @verizon @VerizonSupport Why is my internet speed 360Mbps down\327Mbps up when I pay for 1Gig symmetric services?

GrandTheftAuto(GTA);Neutral;People who killed Michael or Trevor at the end of gta probably doing hooligan shenanigans right about now
Nvidia;Neutral;The Nvidia Shield is my daily driver but I like to recommend the Roku platform as it has nearly universal app compatibility.
Amazon;Positive;"Seeing Amazon Prime marketing Borat by getting him in TikToks, vlogs, YouTube videos is amazing.

TomClancysRainbowSix;Positive;Happy to be back doing what I love :))
Dota2;Neutral;I am dota 2 dota 2 i like happy  -  Casey
Dota2;Negative;"What the fuck is wrong with u guys?
Google;Negative;Well that's not helping to reassure me my data is safe with @google
Cyberpunk2077;Positive;You know how you buy consoles for specific games, I dead ass bought this card so that I can get the absolute best experience from @CyberpunkGame I want to absolutely immerse myself in this game. @NVIDIAGeForce ray tracing, all of that, I want it all. pic.twitter.com/neA45IHUvo
CallOfDutyBlackopsColdWar;Negative;"The recent Warzone and Modern Warfare patch has leaked tons of Black Ops: Cold War details including singleplayer campaign description, editions, and potential release date.  

Borderlands;Neutral;"Stream on Borderlands 3 tonight at 8pm! 
NBA2K;Negative;"Sorta amusing how #nba2k has such self-centered community managers that have built up such limited goodwill, that when they released a demo identical to 2k20, everyone was vocal about it being trash #NBA2K21 
RedDeadRedemption(RDR);Positive;"I''''m getting a lot out of Red Dead Redemption 2 right now, the game enables me to do a lot of dumb things and generally be an idiot.


CallOfDutyBlackopsColdWar;Negative;Oh dear god my computer is gonna get fried from all this
LeagueOfLegends;Neutral;@IISirPootnickII  computer having some issues may die at any point. Going to chance a steam anyway. Cant sign into steam so be playing some @LeagueOfLegends  while we keep trying to get on. twitch.tv/iisirpootnickii #LootGoblinGaming #LeagueOfLegends
LeagueOfLegends;Irrelevant;the constant mouse clicking is what always got me
CallOfDutyBlackopsColdWar;Positive;HOLYYYYY. Definitely streaming it this weekend👀be on the look out
PlayerUnknownsBattlegrounds(PUBG);Neutral;PTS would not stop crashing on me tonight. An issue I have never had with @PUBG_US @PUBG @PUBG_Devs going to give it another shot in the AM. Y’all have a good night! 6am central as always 🙏❤️ https://t.co/6MgOA07Izs
PlayStation5(PS5);Positive;"This #PlayStation5 pre order is an absolute....

LeagueOfLegends;Positive;Nothing like getting two leavers in the game that would have promoted you. I love league of legends👍👍👍👍👍🤡
FIFA;Irrelevant;"The Nigeria national team has been ranked as the 29th best team in the World and 3rd in Africa in the latest FIFA World rankings. 🇳🇬🦅

LeagueOfLegends;Neutral;So good I had to share! Check out all the items I'm loving on @Poshmarkapp from @ShopAngryKitty #poshmark #fashion #style #shopmycloset #pier1 #leagueoflegends: posh.mk/7ZpkTUiSf9 https://t.co/pPGBdxFVm6
CS-GO;Neutral;Finnish CS:GO Player Jamppi Sues Valve Over Alleged VAC Ban » TalkEsport,bit.ly/3byCjrT
Xbox(Xseries);Irrelevant;"You can catch up with all of ''The Xbox Has No Games Podcast''' right here:"""
Hearthstone;Neutral;YOUR PATHETIC Freeze Cannot Stop MY MINIONS | Hearthstone Daily Moments Ep.1465 gameforce.jp/hearthstone%e3… https://t.co/H0Q9zjH8GF
PlayerUnknownsBattlegrounds(PUBG);Irrelevant;"Team Shy Military are your Runners-up in PUBG PC at the Showdown tournament organized by Gamer.LK. we wish them the very best in the upcoming tournaments. 💚💚

CallOfDuty;Irrelevant;I'm not even a part of @CallofDuty community but this shit at @NoahJ456 stream is soooo interesting.
Cyberpunk2077;Irrelevant;"twitter.com/pcgamer/status…
TomClancysGhostRecon;Positive;the chopper shot is stunning 🔥
Microsoft;Neutral;I used to think Ellison was an ok guy, this just PROVES that Trump is into making ALL his friends money, and screwing with people.  I'm sorry Microsoft :( ...stupid POS POTUS!!!
Borderlands;Positive;Completed #Fustercluck this weekend, rounding off year one of #Borderlands3. I decided to go back in response and play the original Borderlands again as I had the 4K GOTY version on my PC already. The shooting feels awful. I'm going to try some suggested ini changes tomorrow.
